func_id	pathway	enzyme
K13416	Plant hormone signal transduction [PATH:ko04075]	brassinosteroid insensitive 1-associated receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
K13418	Other	Other
K13419	Other	Other
K13420	MAPK signaling pathway - plant [PATH:ko04016]	LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]
K13421	Drug metabolism - other enzymes [PATH:ko00983]	uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
K13422	Plant hormone signal transduction [PATH:ko04075]	transcription factor MYC2
K13423	MAPK signaling pathway - plant [PATH:ko04016]	WRKY transcription factor 25
K13424	MAPK signaling pathway - plant [PATH:ko04016]	WRKY transcription factor 33
K13425	MAPK signaling pathway - plant [PATH:ko04016]	WRKY transcription factor 22
K13427	Arginine and proline metabolism [PATH:ko00330]	"nitric-oxide synthase, plant [EC:1.14.13.39]"
K13428	Other	Other
K13429	Other	Other
K13430	Other	Other
K13431	Protein export [PATH:ko03060]	signal recognition particle receptor subunit alpha
K13432	Other	Other
K13433	Other	Other
K13434	Other	Other
K13436	Other	Other
K13443	Lysosome [PATH:ko04142]	Niemann-Pick C2 protein
K13444	Lysosome [PATH:ko04142]	formylglycine-generating enzyme [EC:1.8.3.7]
K13447	MAPK signaling pathway - plant [PATH:ko04016]	respiratory burst oxidase [EC:1.6.3.- 1.11.1.-]
K13448	Other	Other
K13449	Plant hormone signal transduction [PATH:ko04075]	pathogenesis-related protein 1
K13450	Other	Other
K13452	Other	Other
K13456	Other	Other
K13457	Other	Other
K13458	Other	Other
K13459	Other	Other
K13460	Other	Other
K13461	Other	Other
K13462	Other	Other
K13463	Plant hormone signal transduction [PATH:ko04075]	coronatine-insensitive protein 1
K13464	Plant hormone signal transduction [PATH:ko04075]	jasmonate ZIM domain-containing protein
K13466	Other	Other
K13472	Other	Other
K13473	Other	Other
K13479	Purine metabolism [PATH:ko00230]	xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K13480	Purine metabolism [PATH:ko00230]	xanthine dehydrogenase iron-sulfur-binding subunit
K13481	Purine metabolism [PATH:ko00230]	xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482	Purine metabolism [PATH:ko00230]	xanthine dehydrogenase large subunit [EC:1.17.1.4]
K13483	Purine metabolism [PATH:ko00230]	xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13484	Purine metabolism [PATH:ko00230]	5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
K13485	Purine metabolism [PATH:ko00230]	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K13486	Two-component system [PATH:ko02020]	chemotaxis protein methyltransferase WspC
K13487	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	methyl-accepting chemotaxis protein WspA
K13488	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	chemotaxis-related protein WspB
K13489	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	chemotaxis-related protein WspD
K13490	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	"two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE"
K13491	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	"two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]"
K13493	Zeatin biosynthesis [PATH:ko00908]	cytokinin-N-glucosyltransferase [EC:2.4.1.-]
K13495	Zeatin biosynthesis [PATH:ko00908]	cis-zeatin O-glucosyltransferase [EC:2.4.1.215]
K13496	Other	Other
K13497	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K13498	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13499	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	chondroitin sulfate synthase [EC:2.4.1.175 2.4.1.226]
K13500	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	chondroitin synthase [EC:2.4.1.175 2.4.1.226]
K13501	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K13503	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	anthranilate synthase [EC:4.1.3.27]
K13504	SNARE interactions in vesicular transport [PATH:ko04130]	vesicle-associated membrane protein 2
K13506	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15]
K13507	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]
K13508	Glycerophospholipid metabolism [PATH:ko00564]	glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
K13509	Phospholipase D signaling pathway [PATH:ko04072]	lysophosphatidate acyltransferase [EC:2.3.1.51]
K13510	Ether lipid metabolism [PATH:ko00565]	lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]
K13511	Glycerophospholipid metabolism [PATH:ko00564]	monolysocardiolipin acyltransferase [EC:2.3.1.-]
K13513	Glycerophospholipid metabolism [PATH:ko00564]	lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]
K13514	Glycerophospholipid metabolism [PATH:ko00564]	lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
K13515	Ferroptosis [PATH:ko04216]	lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-]
K13516	Glycerophospholipid metabolism [PATH:ko00564]	lysophospholipid acyltransferase 7 [EC:2.3.1.-]
K13517	Glycerophospholipid metabolism [PATH:ko00564]	lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-]
K13519	Ether lipid metabolism [PATH:ko00565]	lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]
K13522	Nicotinate and nicotinamide metabolism [PATH:ko00760]	bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]
K13523	Phospholipase D signaling pathway [PATH:ko04072]	lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]
K13524	beta-Alanine metabolism [PATH:ko00410]	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
K13525	Protein processing in endoplasmic reticulum [PATH:ko04141]	transitional endoplasmic reticulum ATPase
K13526	Other	Other
K13527	Proteasome [PATH:ko03050]	proteasome-associated ATPase
K13528	Other	Other
K13529	Base excision repair [PATH:ko03410]	"AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
K13530	Other	Other
K13531	Other	Other
K13532	Two-component system [PATH:ko02020]	"two-component system, sporulation sensor kinase D [EC:2.7.13.3]"
K13533	Two-component system [PATH:ko02020]	"two-component system, sporulation sensor kinase E [EC:2.7.13.3]"
K13535	Glycerophospholipid metabolism [PATH:ko00564]	cardiolipin-specific phospholipase [EC:3.1.1.-]
K13539	Other	Other
K13540	Porphyrin and chlorophyll metabolism [PATH:ko00860]	precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]
K13541	Porphyrin and chlorophyll metabolism [PATH:ko00860]	cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131]
K13542	Porphyrin and chlorophyll metabolism [PATH:ko00860]	uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]
K13543	Porphyrin and chlorophyll metabolism [PATH:ko00860]	uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]
K13544	Porphyrin and chlorophyll metabolism [PATH:ko00860]	pheophorbidase [EC:3.1.1.82]
K13545	Porphyrin and chlorophyll metabolism [PATH:ko00860]	red chlorophyll catabolite reductase [EC:1.3.7.12]
K13546	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	2-deoxy-scyllo-inosose synthase [EC:4.2.3.124]
K13547	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	"L-glutamine:2-deoxy-scyllo-inosose/3-amino-2,3-dideoxy-scyllo-inosose aminotransferase [EC:2.6.1.100 2.6.1.101]"
K13548	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	2-deoxy-scyllo-inosamine dehydrogenase [EC:1.1.1.329]
K13549	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	2-deoxy-scyllo-inosamine dehydrogenase (SAM-dependent) [EC:1.1.99.38]
K13550	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	2-deoxystreptamine N-acetyl-D-glucosaminyltransferase / 2-deoxystreptamine glucosyltransferase [EC:2.4.1.283 2.4.1.284]
K13552	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	paromamine 6'-oxidase [EC:1.1.3.43]
K13553	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	neamine transaminase [EC:2.6.1.93]
K13560	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase [EC:4.1.1.95]
K13566	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	omega-amidase [EC:3.5.1.3]
K13567	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	activin receptor type-1B [EC:2.7.11.30]
K13570	Other	Other
K13571	Other	Other
K13572	Other	Other
K13573	Other	Other
K13574	Other	Other
K13577	Other	Other
K13578	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	bone morphogenetic protein receptor type-1B [EC:2.7.11.30]
K13580	Other	Other
K13581	Cell cycle - Caulobacter [PATH:ko04112]	modification methylase [EC:2.1.1.72]
K13582	Cell cycle - Caulobacter [PATH:ko04112]	localization factor PodJL
K13583	Cell cycle - Caulobacter [PATH:ko04112]	GcrA cell cycle regulator
K13584	Cell cycle - Caulobacter [PATH:ko04112]	"two-component system, cell cycle response regulator CtrA"
K13585	Cell cycle - Caulobacter [PATH:ko04112]	holdfast attachment protein HfaA
K13586	Cell cycle - Caulobacter [PATH:ko04112]	holdfast attachment protein HfaB
K13587	Cell cycle - Caulobacter [PATH:ko04112]	"two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]"
K13588	Cell cycle - Caulobacter [PATH:ko04112]	histidine phosphotransferase ChpT
K13589	Cell cycle - Caulobacter [PATH:ko04112]	"two-component system, cell cycle response regulator CpdR"
K13590	Cell cycle - Caulobacter [PATH:ko04112]	diguanylate cyclase [EC:2.7.7.65]
K13591	Cell cycle - Caulobacter [PATH:ko04112]	"two-component system, cell cycle response regulator PopA"
K13592	Cell cycle - Caulobacter [PATH:ko04112]	regulator of CtrA degradation
K13593	Cell cycle - Caulobacter [PATH:ko04112]	"cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF"
K13596	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	activin receptor type-2B [EC:2.7.11.30]
K13597	Other	Other
K13598	Two-component system [PATH:ko02020]	"two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"
K13599	Two-component system [PATH:ko02020]	"two-component system, NtrC family, nitrogen regulation response regulator NtrX"
K13600	Porphyrin and chlorophyll metabolism [PATH:ko00860]	chlorophyllide a oxygenase [EC:1.14.13.122]
K13601	Porphyrin and chlorophyll metabolism [PATH:ko00860]	bacteriochlorophyllide d C-8(2)-methyltransferase [EC:2.1.1.332]
K13606	Porphyrin and chlorophyll metabolism [PATH:ko00860]	chlorophyll(ide) b reductase [EC:1.1.1.294]
K13609	"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]
K13610	"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	13-hydroxylupinine O-tigloyltransferase [EC:2.3.1.93]
K13611	Other	Other
K13612	Other	Other
K13613	Other	Other
K13614	Other	Other
K13615	Other	Other
K13617	Other	Other
K13620	Other	Other
K13621	Glycerophospholipid metabolism [PATH:ko00564]	betaine lipid synthase
K13622	Glycerophospholipid metabolism [PATH:ko00564]	S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase
K13623	Glycerophospholipid metabolism [PATH:ko00564]	S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
K13624	Ferroptosis [PATH:ko04216]	ceruloplasmin [EC:1.16.3.1]
K13626	Other	Other
K13627	Other	Other
K13628	Other	Other
K13629	Other	Other
K13630	Other	Other
K13631	Other	Other
K13632	Other	Other
K13633	Other	Other
K13634	Other	Other
K13635	Other	Other
K13636	Other	Other
K13637	Other	Other
K13638	Other	Other
K13639	Other	Other
K13640	Other	Other
K13641	Other	Other
K13642	Other	Other
K13643	Other	Other
K13644	Phosphonate and phosphinate metabolism [PATH:ko00440]	choline/ethanolamine phosphotransferase [EC:2.7.8.1 2.7.8.2]
K13646	Other types of O-glycan biosynthesis [PATH:ko00514]	lysyl hydroxylase/galactosyltransferase/glucosyltransferase [EC:1.14.11.4 2.4.1.50 2.4.1.66]
K13647	Lysine degradation [PATH:ko00310]	"procollagen-lysine,2-oxoglutarate 5-dioxygenase, invertebrate [EC:1.14.11.4]"
K13648	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	"alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]"
K13650	Other	Other
K13651	Other	Other
K13652	Other	Other
K13653	Other	Other
K13654	Other	Other
K13655	Other	Other
K13656	Other	Other
K13657	Other	Other
K13658	Other	Other
K13659	Other	Other
K13660	Other	Other
K13661	Other	Other
K13662	Other	Other
K13663	Other	Other
K13665	Other	Other
K13667	Other types of O-glycan biosynthesis [PATH:ko00514]	protein glucosyltransferase [EC:2.4.1.-]
K13668	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346]
K13669	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	"alpha-1,2-mannosyltransferase [EC:2.4.1.-]"
K13670	Other	Other
K13671	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	"alpha-1,2-mannosyltransferase [EC:2.4.1.-]"
K13675	Other types of O-glycan biosynthesis [PATH:ko00514]	"UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]"
K13676	Other types of O-glycan biosynthesis [PATH:ko00514]	"UDP-xylose:glucoside alpha-1,3-xylosyltransferase [EC:2.4.2.-]"
K13677	Glycerolipid metabolism [PATH:ko00561]	"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]"
K13678	Other	Other
K13679	Starch and sucrose metabolism [PATH:ko00500]	granule-bound starch synthase [EC:2.4.1.242]
K13680	Other	Other
K13681	Other	Other
K13682	Other	Other
K13683	Other	Other
K13684	Other	Other
K13686	Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	galactan 5-O-arabinofuranosyltransferase [EC:2.4.2.46]
K13687	Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	arabinofuranosyltransferase [EC:2.4.2.-]
K13688	Other	Other
K13690	Other	Other
K13691	Other	Other
K13692	Other	Other
K13693	Other	Other
K13694	Other	Other
K13695	Other	Other
K13696	Other	Other
K13697	Other	Other
K13698	Other	Other
K13699	Other	Other
K13700	Other	Other
K13701	Other	Other
K13702	Other	Other
K13703	Other	Other
K13704	Other	Other
K13706	Other	Other
K13707	Other	Other
K13708	Regulation of actin cytoskeleton [PATH:ko04810]	dedicator of cytokinesis protein 1
K13709	Focal adhesion [PATH:ko04510]	Rho GTPase-activating protein 5
K13710	Regulation of actin cytoskeleton [PATH:ko04810]	Rho guanine nucleotide exchange factor 7
K13711	Phosphatidylinositol signaling system [PATH:ko04070]	phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]
K13713	Purine metabolism [PATH:ko00230]	fusion protein PurCD [EC:6.3.2.6 6.3.4.13]
K13714	Other	Other
K13717	Other	Other
K13719	Protein processing in endoplasmic reticulum [PATH:ko04141]	ubiquitin thioesterase OTU1 [EC:3.1.2.-]
K13721	Other	Other
K13722	Other	Other
K13723	Other	Other
K13724	Other	Other
K13726	Other	Other
K13727	Other	Other
K13728	Oocyte meiosis [PATH:ko04114]	mitotic spindle assembly checkpoint protein MAD2B
K13730	Other	Other
K13731	Other	Other
K13732	Other	Other
K13735	Other	Other
K13738	Other	Other
K13741	Other	Other
K13745	"Glycine, serine and threonine metabolism [PATH:ko00260]"	"L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]"
K13747	Arginine and proline metabolism [PATH:ko00330]	carboxynorspermidine decarboxylase [EC:4.1.1.96]
K13749	Other	Other
K13750	Other	Other
K13751	Other	Other
K13752	Other	Other
K13753	Other	Other
K13754	Other	Other
K13755	Calcium signaling pathway [PATH:ko04020]	"calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]"
K13757	Purine metabolism [PATH:ko00230]	"cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]"
K13758	Purine metabolism [PATH:ko00230]	"retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"
K13761	Purine metabolism [PATH:ko00230]	"high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]"
K13763	Purine metabolism [PATH:ko00230]	"cGMP-specific 3',5'-cyclic phosphodiesterase, invertebrate [EC:3.1.4.35]"
K13766	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K13767	Benzoate degradation [PATH:ko00362]	enoyl-CoA hydratase [EC:4.2.1.17]
K13770	Other	Other
K13771	Other	Other
K13772	Other	Other
K13774	Geraniol degradation [PATH:ko00281]	citronellol/citronellal dehydrogenase
K13775	Geraniol degradation [PATH:ko00281]	citronellol/citronellal dehydrogenase
K13776	Geraniol degradation [PATH:ko00281]	citronellyl-CoA synthetase [EC:6.2.1.-]
K13777	Geraniol degradation [PATH:ko00281]	geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
K13778	Geraniol degradation [PATH:ko00281]	geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]
K13779	Geraniol degradation [PATH:ko00281]	isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]
K13780	mTOR signaling pathway [PATH:ko04150]	"solute carrier family 7 (L-type amino acid transporter), member 5"
K13781	Other	Other
K13782	Other	Other
K13783	Other	Other
K13786	Porphyrin and chlorophyll metabolism [PATH:ko00860]	"cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.1]"
K13787	Terpenoid backbone biosynthesis [PATH:ko00900]	"geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K13788	Taurine and hypotaurine metabolism [PATH:ko00430]	phosphate acetyltransferase [EC:2.3.1.8]
K13789	Terpenoid backbone biosynthesis [PATH:ko00900]	"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K13792	Other	Other
K13794	Other	Other
K13795	Other	Other
K13796	Other	Other
K13797	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]
K13798	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit B [EC:2.7.7.6]
K13799	Pantothenate and CoA biosynthesis [PATH:ko00770]	pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]
K13800	Drug metabolism - other enzymes [PATH:ko00983]	UMP-CMP kinase [EC:2.7.4.14]
K13803	Other	Other
K13804	Other	Other
K13805	Other	Other
K13806	Other	Other
K13807	Other	Other
K13808	Other	Other
K13810	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K13811	Monobactam biosynthesis [PATH:ko00261]	3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
K13813	Phagosome [PATH:ko04145]	syntaxin 12/13
K13815	Quorum sensing [PATH:ko02024]	"two-component system, response regulator RpfG"
K13816	Quorum sensing [PATH:ko02024]	DSF synthase
K13818	Folate biosynthesis [PATH:ko00790]	molybdopterin-guanine dinucleotide biosynthesis protein [EC:2.7.7.77]
K13819	Other	Other
K13820	Flagellar assembly [PATH:ko02040]	flagellar biosynthetic protein FliR/FlhB
K13821	Arginine and proline metabolism [PATH:ko00330]	"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"
K13829	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]
K13830	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]
K13831	Methane metabolism [PATH:ko00680]	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
K13832	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]
K13836	Other	Other
K13837	Other	Other
K13849	Other	Other
K13853	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]
K13855	Other	Other
K13858	Other	Other
K13861	Other	Other
K13862	Other	Other
K13863	Other	Other
K13864	Other	Other
K13865	Other	Other
K13866	Other	Other
K13868	Other	Other
K13871	Other	Other
K13872	Other	Other
K13873	Ascorbate and aldarate metabolism [PATH:ko00053]	L-arabinose 1-dehydrogenase [EC:1.1.1.376]
K13874	Ascorbate and aldarate metabolism [PATH:ko00053]	L-arabinonolactonase [EC:3.1.1.15]
K13875	Ascorbate and aldarate metabolism [PATH:ko00053]	L-arabonate dehydrase [EC:4.2.1.25]
K13876	Ascorbate and aldarate metabolism [PATH:ko00053]	2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
K13877	Ascorbate and aldarate metabolism [PATH:ko00053]	"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"
K13878	Other	Other
K13879	Other	Other
K13880	Other	Other
K13885	Phagosome [PATH:ko04145]	"scavenger receptor class B, member 1"
K13886	Other	Other
K13887	Other	Other
K13888	Other	Other
K13889	ABC transporters [PATH:ko02010]	glutathione transport system substrate-binding protein
K13890	ABC transporters [PATH:ko02010]	glutathione transport system permease protein
K13891	ABC transporters [PATH:ko02010]	glutathione transport system permease protein
K13892	ABC transporters [PATH:ko02010]	glutathione transport system ATP-binding protein
K13893	ABC transporters [PATH:ko02010]	microcin C transport system substrate-binding protein
K13894	ABC transporters [PATH:ko02010]	microcin C transport system permease protein
K13895	ABC transporters [PATH:ko02010]	microcin C transport system permease protein
K13896	ABC transporters [PATH:ko02010]	microcin C transport system ATP-binding protein
K13899	Other	Other
K13908	Other	Other
K13909	Other	Other
K13911	Other	Other
K13912	Other	Other
K13917	mRNA surveillance pathway [PATH:ko03015]	mRNA-capping enzyme [EC:2.7.7.50 3.6.1.-]
K13918	Other	Other
K13919	Propanoate metabolism [PATH:ko00640]	propanediol dehydratase medium subunit [EC:4.2.1.28]
K13920	Propanoate metabolism [PATH:ko00640]	propanediol dehydratase small subunit [EC:4.2.1.28]
K13921	Propanoate metabolism [PATH:ko00640]	1-propanol dehydrogenase
K13922	Propanoate metabolism [PATH:ko00640]	propionaldehyde dehydrogenase [EC:1.2.1.87]
K13923	Propanoate metabolism [PATH:ko00640]	phosphate propanoyltransferase [EC:2.3.1.222]
K13924	Bacterial chemotaxis [PATH:ko02030]	"two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]"
K13926	Other	Other
K13928	Other	Other
K13929	Other	Other
K13930	Other	Other
K13931	Other	Other
K13932	Other	Other
K13933	Other	Other
K13934	Other	Other
K13935	Other	Other
K13936	Other	Other
K13938	One carbon pool by folate [PATH:ko00670]	dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3]
K13939	Folate biosynthesis [PATH:ko00790]	dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:4.1.2.25 2.7.6.3 2.5.1.15]
K13940	Folate biosynthesis [PATH:ko00790]	dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]
K13941	Folate biosynthesis [PATH:ko00790]	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:2.7.6.3 2.5.1.15]
K13946	Plant hormone signal transduction [PATH:ko04075]	auxin influx carrier (AUX1 LAX family)
K13947	Other	Other
K13948	Other	Other
K13950	Folate biosynthesis [PATH:ko00790]	para-aminobenzoate synthetase [EC:2.6.1.85]
K13953	Drug metabolism - cytochrome P450 [PATH:ko00982]	"alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
K13954	Naphthalene degradation [PATH:ko00626]	alcohol dehydrogenase [EC:1.1.1.1]
K13955	Other	Other
K13956	Other	Other
K13957	Other	Other
K13959	Other	Other
K13960	Fanconi anemia pathway [PATH:ko03460]	ubiquitin-conjugating enzyme E2 T [EC:2.3.2.23]
K13963	Other	Other
K13966	Other	Other
K13967	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase [EC:5.1.3.9 2.7.1.60]
K13979	Other	Other
K13982	Other	Other
K13983	Other	Other
K13984	Protein processing in endoplasmic reticulum [PATH:ko04141]	thioredoxin domain-containing protein 5
K13985	Other	Other
K13987	Purine metabolism [PATH:ko00230]	ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase [EC:3.6.1.13 3.6.1.58 3.6.1.- 2.7.7.96]
K13988	Purine metabolism [PATH:ko00230]	ADP-ribose pyrophosphatase [EC:3.6.1.13]
K13989	Protein processing in endoplasmic reticulum [PATH:ko04141]	Derlin-2/3
K13990	One carbon pool by folate [PATH:ko00670]	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]
K13991	Two-component system [PATH:ko02020]	photosynthetic reaction center H subunit
K13992	Other	Other
K13993	Protein processing in endoplasmic reticulum [PATH:ko04141]	HSP20 family protein
K13995	Nicotinate and nicotinamide metabolism [PATH:ko00760]	maleamate amidohydrolase [EC:3.5.1.107]
K13996	Protein processing in endoplasmic reticulum [PATH:ko04141]	protein disulfide-isomerase [EC:5.3.4.1]
K13997	Global maps only	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K13998	One carbon pool by folate [PATH:ko00670]	dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]
